,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
355,3,"ГБУЗ ""Волгоградский областной клинический центр медицинской реабилитации""",поликлиника,"г. Волгоград, ул 64 Армии д.125",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6192546,44.4231322
356,4,"ГБУЗ ""Волгоградский областной клинический центр медицинской реабилитации""",поликлиника,"г. Волгоград, ул им Наумова д.4",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.708048,44.5133034
357,5,"ГБУЗ ""Волгоградский областной клинический противотуберкулезный диспансер""",поликлиника,"г. Волгоград, ул им генерала Штеменко д.49",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.7773468,44.55139459999999
358,6,"ГБУЗ ""Волгоградский областной клинический кожно-венерологический диспансер"" ",поликлиника,"г. Волжский, ул. Московская, 8",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.8018864,44.7394188
359,7,"ГБУЗ ""Волгоградский областной клинический кожно-венерологический диспансер"" ",поликлиника,"г Михайловка, ул Пирогова д.80А  ",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,50.0611446,43.23424199999999
360,8,"ГБУЗ ""Волгоградская областная клиническая больница № 1"", Волгоград ",поликлиника,"г Волгоград, ул Ангарская д.13 корп.20 (Сурдологический центр)",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.7130757,44.48994219999999
361,9,"ГБУЗ ""Волгоградский областной клинический онкологический диспансер "", Волжский",поликлиника,"г Волжский, ул Комсомольская д.25",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.8176494,44.7707294
362,10,"ГБУЗ ""Волгоградский областной клинический кожно-венерологический диспансер"" ",поликлиника,"г. Волгоград, ул. Обливская, 5",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.7896006,44.5830799
363,11,"ГБУЗ ""Волгоградский областной клинический перинатальный центр № 1 им. Л.И. Ушаковой"", Волжский",больница," г Волжский, ул Пушкина д.12а",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.8004684,44.753217
364,12,"ГБУЗ ""Волгоградская областная клиническая психиатрическая больница № 2"", Волгоград",поликлиника,"г Волгоград, ул им Бажова д.11",х,все возрастные категории,1,1,1,1,0,https://zhit-vmeste.ru/map/,48.708048,44.5133034
365,13,"ГБУЗ ""Волгоградская областная клиническая психиатрическая больница № 2"", Волгоград",больница," г Волгоград, пр-кт Университетский д.104",х,все возрастные категории,1,1,1,1,2,https://zhit-vmeste.ru/map/,48.63965289999999,44.4314156
366,14,"ГБУЗ ""Волгоградская областная клиническая больница № 1"", Волгоград",больница,"г Волгоград, ул Ангарская д.13С корп.11 (Хирургия)",х,взрослое население,0,0,2,0,0,https://zhit-vmeste.ru/map/,48.7142545,44.4895778
367,15,"ГБУЗ ""Волгоградский областной клинический центр медицинской реабилитации""",поликлиника,"г Волгоград, ул им Ломакина д.26",х,все возрастные категории,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.708048,44.5133034
368,16,"ГБУЗ ""Волгоградский областной клинический госпиталь ветеранов войн"", Волгоград",больница,"г Волгоград, ул им Землячки д.82",х,пожилые,1,1,1,1,0,https://zhit-vmeste.ru/map/,48.7566847,44.5233127
369,17,"ГБУЗ ""Волгоградская областная клиническая больница № 1"", Волгоград",поликлиника,"г. Волгоград, ул Ангарская д.13, корп.23 ",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.7142545,44.4895778
